词语	拼音	词性	分级	义类编码
碧波	bìbō	名	3	贰三Da
碧空	bìkōng	名	3	肆二Ba
碧蓝	bìlán	形	2	捌二Ac
碧绿	bìlǜ	形	2	捌二Ae
弊端	bìduān	名	4	叁二Bc
避	bì	动	2	伍七Ja
避讳	bì·hui	动	4	柒三Ic
避免	bìmiǎn	动	2	柒三Ic
避让	bìràng	动	3	柒三Ic
避暑	bì//shǔ	动	3	伍七Ab
避重就轻	bìzhòng-jiùqīng		3	柒三Ic
臂膀	bìbǎng	名	3	壹五Af
边	biān	名	1	贰二Fb
边陲	biānchuí	名	4	肆二Ce
边际	biānjì	名	3	叁二Eb
边疆	biānjiāng	名	2	肆二Ce
边界	biānjiè	名	2	叁二Eb
边境	biānjìng	名	2	肆二Ce
边缘	biānyuán	名	3	肆二Ag
边远	biānyuǎn	形	2	捌三Ra
编	biān	动	2	陆三Ea
编	biān	动	2	陆五Ea
编辑	biān·jí	名	3	壹一Jj
编辑	biānjí	动	3	陆五Ec
编剧	biānjù	名	3	壹一Jl
编剧	biān//jù	动	3	陆五Ea
编写	biānxiě	动	3	陆五Ea
编写	biānxiě	动	2	陆五Ec
编造	biānzào	动	3	伍七Gd
编织	biānzhī	动	3	陆三Ea
编制	biānzhì	名	4	叁二Cc
编制	biānzhì	动	4	陆一Kb
编纂	biānzuǎn	动	4	陆五Ec
蝙蝠	biānfú	名	2	壹二Bh
鞭策	biāncè	动	4	陆一Ib
鞭长莫及	biāncháng-mòjí		4	伍五Be
鞭炮	biānpào	名	2	贰八Db
鞭辟入里	biānpì-rùlǐ		4	捌四Mb
鞭子	biān·zi	名	2	贰五Fi
贬低	biǎndī	动	3	陆九Gc
贬损	biǎnsǔn	动	4	陆九Gc
贬义	biǎnyì	名	3	叁八Cb
贬值	biǎn//zhí	动	4	柒五Bb
扁	biǎn	形	2	捌一Eb
扁担	biǎn·dan	名	2	贰五Cg
变	biàn	动	1	柒四Aa
变	biàn	动	1	柒四Ab
变	biàn	动	1	柒四Ac
变本加厉	biànběn-jiālì		3	柒五Ae
变动	biàndòng	名	3	叁一Ab
变动	biàndòng	动	2	柒四Ac
变革	biàngé	动	3	陆六Bb
变更	biàngēng	动	3	柒四Ac
变故	biàngù	名	3	叁一Ab
变化	biànhuà	名	3	叁一Ab
变化	biànhuà	动	1	柒四Aa
变化多端	biànhuà-duōduān		3	柒四Aa
变幻	biànhuàn	动	3	柒四Aa
变幻莫测	biànhuàn-mòcè		3	柒四Aa
变换	biànhuàn	动	3	柒四Ad
变卖	biànmài	动	4	陆二Ba
变迁	biànqiān	动	4	柒四Aa
变色	biànsè	动	2	柒四Ac
变通	biàntōng	动	3	捌五Uc
变异	biànyì	动	4	柒四Aa
变质	biàn//zhì	动	3	柒四Ca
便	biàn	副	1	玖一Ee
便饭	biànfàn	名	2	叁一Db
便捷	biànjié	形	3	捌四Fc
便利	biànlì	形	3	捌四Fc
便秘	biànmì	动	3	伍四If
便条	biàntiáo	名	2	叁八Ef
便衣	biànyī	名	3	壹一Jf
